strip,r_mm,dr_mm,chord_mm,area_mm2
0,0.9000,0.6000,1.0929,0.65572
1,1.5000,0.6000,1.8437,1.10624
2,2.1000,0.6000,2.3150,1.38902
3,2.7000,0.6000,2.6598,1.59586
4,3.3000,0.6000,2.9231,1.75385
5,3.9000,0.6000,3.1256,1.87536
6,4.5000,0.6000,3.2786,1.96717
7,5.1000,0.6000,3.3889,2.03332
8,5.7000,0.6000,3.4604,2.07624
9,6.3000,0.6000,3.4956,2.09737
10,6.9000,0.6000,3.4956,2.09737
11,7.5000,0.6000,3.4604,2.07624
12,8.1000,0.6000,3.3889,2.03332
13,8.7000,0.6000,3.2786,1.96717
14,9.3000,0.6000,3.1256,1.87536
15,9.9000,0.6000,2.9231,1.75385
16,10.5000,0.6000,2.6598,1.59586
17,11.1000,0.6000,2.3150,1.38902
18,11.7000,0.6000,1.8437,1.10624
19,12.3000,0.6000,1.0929,0.65572
