standoff_mm,d_over_R,Fz_free_uN,Fz_ge_uN,dFz_uN,dFz_pct_weight,Fz_ripple_pp_uN,Fz_ripple_std_uN,Tx_ge_uNmm,Ty_ge_uNmm
8,0.635,759.283,848.434,89.1507,11.7413,1762.876,619.318,0.0000,5.4595
10,0.794,759.283,819.437,60.1540,7.9224,1704.842,598.680,0.0000,3.6838
12,0.952,759.283,802.590,43.3065,5.7035,1671.123,586.693,0.0000,2.6521
15,1.190,759.283,788.035,28.7522,3.7867,1641.994,576.339,0.0000,1.7608
18,1.429,759.283,779.752,20.4691,2.6958,1625.417,570.448,0.0000,1.2535
22,1.746,759.283,773.303,14.0192,1.8464,1612.508,565.861,0.0000,0.8585
26,2.063,759.283,769.482,10.1991,1.3432,1604.862,563.145,0.0000,0.6246
32,2.540,759.283,766.129,6.8458,0.9016,1598.151,560.761,0.0000,0.4192
40,3.175,759.283,763.729,4.4454,0.5855,1593.347,559.054,0.0000,0.2722
50,3.968,759.283,762.162,2.8785,0.3791,1590.211,557.940,0.0000,0.1763
60,4.762,759.283,761.298,2.0146,0.2653,1588.482,557.326,0.0000,0.1234
