wall_y_mm,gap_mm,gap_over_R,dTx_roll_uNmm,dFy_lat_uN,dTz_yaw_uNmm,roll_cmd_equiv
15,1.700,0.135,1218.6486,-0.0000,-0.0000,0.11719
16,2.700,0.214,865.7330,-0.0000,0.0000,0.08325
18,4.700,0.373,432.0877,0.0000,0.0000,0.04155
20,6.700,0.532,257.3919,-0.0000,0.0000,0.02475
24,10.700,0.849,119.5178,-0.0000,0.0000,0.01149
28,14.700,1.167,67.0266,-0.0000,0.0000,0.00645
34,20.700,1.643,34.0413,0.0000,0.0000,0.00327
42,28.700,2.278,16.9245,0.0000,-0.0000,0.00163
55,41.700,3.310,7.1746,-0.0000,0.0000,0.00069
70,56.700,4.500,3.3921,0.0000,-0.0000,0.00033
